No.,sp.complex,community,subspecies,taxa,wspClade,elevation,site,breeding system,lat,long,sample elevation,taxonDegs
119,itoana,microdictya,microdictya,BruMic036,wspC7,2700,Bruno Sawmill,monoecious,-5.804675,145.165715,2414,mic
120,itoana,microdictya,microdictya,BruMic038,wspC7,2700,Bruno Sawmill,monoecious,-5.804862,145.165641,2495,mic
121,itoana,microdictya,microdictya,BruMic049,noWol,2700,Bruno Sawmill,monoecious,-5.813464,145.154018,2628,mic
122,itoana,microdictya,microdictya,BruMic050,noWol,2700,Bruno Sawmill,monoecious,-5.812357,145.153782,2621,mic
123,itoana,microdictya,microdictya,BruMic36R,noWol,2700,Bruno Sawmill,monoecious,-5.804675,145.165715,2414,mic
124,itoana,microdictya,microdictya,BruMic37,wspC7,2700,Bruno Sawmill,monoecious,-5.80481,145.165585,2478,mic
125,itoana,microdictya,microdictya,BruMic37R,wspC7,2700,Bruno Sawmill,monoecious,-5.80481,145.165585,2478,mic
126,itoana,microdictya,microdictya,BruMic40b,wspC7,2700,Bruno Sawmill,monoecious,-5.805113,145.165491,2489,mic
127,itoana,microdictya,microdictya,BruMic41c,wspC7,2700,Bruno Sawmill,monoecious,-5.805514,145.165393,2515,mic
128,itoana,microdictya,microdictya,BruMic42,wspC7,2700,Bruno Sawmill,monoecious,-5.805576,145.165371,2502,mic
130,itoana,microdictya,microdictya,BruMic45R,wspC7,2700,Bruno Sawmill,monoecious,-5.805874,145.165278,2508,mic
129,itoana,microdictya,microdictya,BruMic45c,wspC7,2700,Bruno Sawmill,monoecious,-5.805874,145.165278,2508,mic
131,itoana,microdictya,microdictya,BruMic46,noWol,2700,Bruno Sawmill,monoecious,-5.805958,145.164977,2538,mic
132,itoana,microdictya,microdictya,BruMic47b,wspC7,2700,Bruno Sawmill,monoecious,-5.80591,145.164856,2550,mic
134,itoana,microdictya,microdictya,BruMic49R,wspC7,2700,Bruno Sawmill,monoecious,-5.813464,145.154018,2628,mic
133,itoana,microdictya,microdictya,BruMic49bc,noWol,2700,Bruno Sawmill,monoecious,-5.813464,145.154018,2628,mic
135,itoana,microdictya,microdictya,BruMic50R,wspC7,2700,Bruno Sawmill,monoecious,-5.812357,145.153782,2621,mic
202,wassa,wassa,wassa,BruWas16,noWol,2700,Bruno Sawmill,dioecious,-5.814129,145.162785,2466,was1
203,wassa,wassa,wassa,BruWas19,wspC1,2700,Bruno Sawmill,dioecious,-5.813984,145.162903,2477,was1
204,wassa,wassa,wassa,BruWas21,wspC1,2700,Bruno Sawmill,dioecious,-5.813989,145.162832,2467,was1
